date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:20	349/349	U--MCZ	200	updated ('OK')	text/plain	date:Tue,%2027%20Aug%202024%2011:34:19%20GMT	https://sezaiakman75.wordpress.com/robots.txt		(from )
14:34:21	114914/114914	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2027%20Aug%202024%2011:34:20%20GMT	https://sezaiakman75.wordpress.com/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/index.html	(from )
14:34:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:21%20GMT	http://s1.wp.com/	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:21%20GMT	http://s2.wp.com/	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:21%20GMT	http://s0.wp.com/	/home/igli/Desktop/winterschool/crawl_wp/s0.wp.com/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:21%20GMT	https://wp.me/fZ8BV	/home/igli/Desktop/winterschool/crawl_wp/wp.me/fZ8BV.4.delayed	(from https://sezaiakman75.wordpress.com/)
14:34:23	1453/1453	U-----	200	untouched ('')	application/rss+xml	date:Tue,%2027%20Aug%202024%2010:25:52%20GMT	https://sezaiakman75.wordpress.com/feed/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/feed/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:23	369/369	U-----	200	untouched ('OK')	text/css	etag:%226466d657-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/_static/indexd02a.html	(from https://sezaiakman75.wordpress.com/)
14:34:23	865/865	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%22ecfda79b02c10cfbb4c29c2971babd1a%22	https://sezaiakman75.wordpress.com/comments/feed/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/comments/feed/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:23	1369/1369	---MCZ	200	added ('OK')	application/xml	date:Tue,%2027%20Aug%202024%2011:34:23%20GMT	https://sezaiakman75.wordpress.com/osd.xml	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/osd.xml	(from https://sezaiakman75.wordpress.com/)
14:34:23	2395/2395	U--MCZ	200	updated ('OK')	text/css	etag:W/%226466d656-95b%22	https://s1.wp.com/_static/??-eJzTLy/QTc7PK0nNK9HPLdUtyClNz8wr1k9PzdfNyU9OLMnMz0Ph6KblJGYW6SUXF+voY9dalJqUk58OZKbrA1UhcUGa7HNtDU1MLU1MLMwNTbIAmkQtqg==&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/_static/index51da.html	(from https://sezaiakman75.wordpress.com/)
14:34:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:24%20GMT	https://sezaiakman75.wordpress.com/registration	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/registration	(from https://sezaiakman75.wordpress.com/)
14:34:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:25%20GMT	https://sezaiakman75.wordpress.com/application	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/application	(from https://sezaiakman75.wordpress.com/)
14:34:26	885/885	U--MCZ	200	updated ('OK')	text/xml	date:Tue,%2027%20Aug%202024%2011:34:26%20GMT	https://sezaiakman75.wordpress.com/xmlrpc.php?rsd	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/xmlrpc0db0.php	(from https://sezaiakman75.wordpress.com/)
14:34:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:26%20GMT	https://sezaiakman75.wordpress.com/?page_id=6	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/index5534.html	(from https://sezaiakman75.wordpress.com/)
14:34:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:26%20GMT	https://sezaiakman75.wordpress.com/?page_id=7	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/index3204.html	(from https://sezaiakman75.wordpress.com/)
14:34:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:26%20GMT	https://sezaiakman75.wordpress.com/?page_id=155	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/indexcbbc.html	(from https://sezaiakman75.wordpress.com/)
14:34:28	98798/98798	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2027%20Aug%202024%2011:34:28%20GMT	https://sezaiakman75.wordpress.com/gold-google-deepmind/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/gold-google-deepmind/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:28	108978/108978	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2027%20Aug%202024%2011:34:28%20GMT	https://sezaiakman75.wordpress.com/gold-sponsor-qcri/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/gold-sponsor-qcri/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:28	544957/544957	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Aug%202024%2010:41:00%20GMT	https://sezaiakman75.wordpress.com/wp-content/uploads/2024/08/skyline-doha-qatar-edited.webp	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/wp-content/uploads/2024/08/skyline-doha-qatar-edited.jpg	(from https://sezaiakman75.wordpress.com/)
14:34:28	91160/91160	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2027%20Aug%202024%2011:34:28%20GMT	https://sezaiakman75.wordpress.com/registration/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/registration/index.html	(from https://sezaiakman75.wordpress.com/)
14:34:30	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2011:34:29%20GMT	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202435b46853b388ab997de6bfa04c1e397b91783aa2d3e125eb7f62b2f41b95dd5e57	/home/igli/Desktop/winterschool/crawl_wp/0.gravatar.com/js/hovercards/hovercards.min.f76c4.delayed	(from https://sezaiakman75.wordpress.com/)
14:34:30	94204/94204	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2027%20Aug%202024%2011:34:30%20GMT	https://sezaiakman75.wordpress.com/application/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/application/index.html	(from https://sezaiakman75.wordpress.com/)
