date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:50	349/349	---MCZ	200	added ('OK')	text/plain	date:Tue,%2027%20Aug%202024%2010:25:50%20GMT	https://sezaiakman75.wordpress.com/robots.txt		(from )
13:25:51	115448/115448	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:25:50%20GMT	https://sezaiakman75.wordpress.com/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/index.html	(from )
13:25:52	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:25:51%20GMT	http://s1.wp.com/	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/index.html	(from https://sezaiakman75.wordpress.com/)
13:25:52	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:25:51%20GMT	http://s2.wp.com/	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/index.html	(from https://sezaiakman75.wordpress.com/)
13:25:52	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:25:51%20GMT	http://s0.wp.com/	/home/igli/Desktop/winterschool/crawl_wp/s0.wp.com/index.html	(from https://sezaiakman75.wordpress.com/)
13:25:52	7742/7742	---MCZ	200	added ('OK')	text/css	etag:W/9569-1723130515270.083	https://s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1723130507i&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar04ef.css	(from https://sezaiakman75.wordpress.com/)
13:25:52	1453/1453	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2027%20Aug%202024%2010:25:52%20GMT	https://sezaiakman75.wordpress.com/feed/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/feed/index.html	(from https://sezaiakman75.wordpress.com/)
13:25:52	16369/16369	---MCZ	200	added ('OK')	text/css	etag:W/16384-1723658797721.6006	https://s2.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/block-library/blocks/navigation/style.css?m=1723658785i&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/block-library/blocks/navigation/style59dd.css	(from https://sezaiakman75.wordpress.com/)
13:25:52	865/865	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f71029cf3289532a4db6344bb7264e95%22	https://sezaiakman75.wordpress.com/comments/feed/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/comments/feed/index.html	(from https://sezaiakman75.wordpress.com/)
13:25:53	6694/6694	---MCZ	200	added ('OK')	text/css	etag:W/6708-1723658799100.8137	https://s2.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/block-library/blocks/image/style.css?m=1723658785i&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/block-library/blocks/image/style59dd.css	(from https://sezaiakman75.wordpress.com/)
13:25:54	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1695422112848.4968	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://sezaiakman75.wordpress.com/)
13:25:55	369/369	---M--	200	added ('OK')	text/css	etag:%226466d657-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/_static/indexd02a.html	(from https://sezaiakman75.wordpress.com/)
13:25:56	885/885	---MCZ	200	added ('OK')	text/xml	date:Tue,%2027%20Aug%202024%2010:25:55%20GMT	https://sezaiakman75.wordpress.com/xmlrpc.php?rsd	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/xmlrpc0db0.php	(from https://sezaiakman75.wordpress.com/)
13:25:56	2395/2395	---MCZ	200	added ('OK')	text/css	etag:W/%226466e57d-95b%22	https://s1.wp.com/_static/??-eJzTLy/QTc7PK0nNK9HPLdUtyClNz8wr1k9PzdfNyU9OLMnMz0Ph6KblJGYW6SUXF+voY9dalJqUk58OZKbrA1UhcUGa7HNtDU1MLU1MLMwNTbIAmkQtqg==&cssminify=yes	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/_static/index51da.html	(from https://sezaiakman75.wordpress.com/)
13:25:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:25:56%20GMT	https://wp.me/fZ8BV	/home/igli/Desktop/winterschool/crawl_wp/wp.me/fZ8BV.5.delayed	(from https://sezaiakman75.wordpress.com/)
13:25:58	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226620cb7b-3c2e%22	https://s1.wp.com/i/favicon.ico	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/i/favicon.ico	(from https://sezaiakman75.wordpress.com/)
13:25:58	6211/6211	---M--	200	added ('OK')	image/png	etag:%2266278e2d-1843%22	https://s2.wp.com/i/webclip.png	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/i/webclip.png	(from https://sezaiakman75.wordpress.com/)
13:26:00	1369/1369	---MCZ	200	added ('OK')	application/xml	date:Tue,%2027%20Aug%202024%2010:25:59%20GMT	https://sezaiakman75.wordpress.com/osd.xml	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/osd.xml	(from https://sezaiakman75.wordpress.com/)
13:26:01	1015/1015	---MCZ	200	added ('OK')	text/xml	etag:W/%226466d62e-3f7%22	https://s1.wp.com/opensearch.xml	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/opensearch.xml	(from https://sezaiakman75.wordpress.com/)
13:26:02	27160/27160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22667d75d6-6a18%22	https://s1.wp.com/wp-includes/js/dist/vendor/wp-polyfill-importmap.min.js?m=1719498190i&ver=1.8.2	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/wp-includes/js/dist/vendor/wp-polyfill-importmap.min4859.js	(from https://sezaiakman75.wordpress.com/)
13:26:03	3336/3336	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bcf22e-d08%22	https://s1.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/interactivity/navigation.min.js?ver=19.0.0	/home/igli/Desktop/winterschool/crawl_wp/s1.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/interactivity/navigation.min7d74.js	(from https://sezaiakman75.wordpress.com/)
13:26:04	35579/35579	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bcf22f-8afb%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/interactivity/index.min.js?ver=19.0.0	/home/igli/Desktop/winterschool/crawl_wp/s0.wp.com/wp-content/plugins/gutenberg-core/v19.0.0/build/interactivity/index.min7d74.js	(from https://sezaiakman75.wordpress.com/)
13:26:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:26:04%20GMT	https://sezaiakman75.wordpress.com/registration	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/registration.d.delayed	(from https://sezaiakman75.wordpress.com/)
13:26:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:26:04%20GMT	https://sezaiakman75.wordpress.com/?page_id=7	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/index3204.html	(from https://sezaiakman75.wordpress.com/)
13:26:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:26:04%20GMT	https://sezaiakman75.wordpress.com/?page_id=6	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/index5534.html	(from https://sezaiakman75.wordpress.com/)
13:26:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:26:05%20GMT	https://sezaiakman75.wordpress.com/?page_id=155	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/indexcbbc.html	(from https://sezaiakman75.wordpress.com/)
13:26:05	108978/108978	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:05%20GMT	https://sezaiakman75.wordpress.com/gold-sponsor-qcri/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/gold-sponsor-qcri/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:26:06%20GMT	https://sezaiakman75.wordpress.com/application	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/application	(from https://sezaiakman75.wordpress.com/)
13:26:07	91457/91457	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:07%20GMT	https://sezaiakman75.wordpress.com/registration/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/registration/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:07	93907/93907	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:07%20GMT	https://sezaiakman75.wordpress.com/application/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/application/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:07	98798/98798	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:07%20GMT	https://sezaiakman75.wordpress.com/gold-google-deepmind/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/gold-google-deepmind/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:08	95301/95301	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:08%20GMT	https://sezaiakman75.wordpress.com/faq/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/faq/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:08	90477/90477	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:08%20GMT	https://sezaiakman75.wordpress.com/about/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/about/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:08	98229/98229	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:08%20GMT	https://sezaiakman75.wordpress.com/code-of-conduct/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/code-of-conduct/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:08	199724/199724	---M--	200	added ('OK')	image/webp	etag:%22654cb610-30c2c%22	https://s2.wp.com/wp-content/themes/pub/twentytwentyfour/assets/images/building-exterior.webp	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/wp-content/themes/pub/twentytwentyfour/assets/images/building-exterior.webp	(from https://sezaiakman75.wordpress.com/)
13:26:09	66482/66482	---M--	200	added ('OK')	image/webp	etag:%22654cb610-103b2%22	https://s2.wp.com/wp-content/themes/pub/twentytwentyfour/assets/images/tourist-and-building.webp	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/wp-content/themes/pub/twentytwentyfour/assets/images/tourist-and-building.webp	(from https://sezaiakman75.wordpress.com/)
13:26:11	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Aug%202024%2010:26:11%20GMT	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202435b46853b388ab997de6bfa04c1e397b91783aa2d3e125eb7f62b2f41b95dd5e57	/home/igli/Desktop/winterschool/crawl_wp/0.gravatar.com/js/hovercards/hovercards.min.1276c4.delayed	(from https://sezaiakman75.wordpress.com/)
13:26:11	126244/126244	---M--	200	added ('OK')	image/webp	etag:%22654cb611-1ed24%22	https://s2.wp.com/wp-content/themes/pub/twentytwentyfour/assets/images/windows.webp	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/wp-content/themes/pub/twentytwentyfour/assets/images/windows.webp	(from https://sezaiakman75.wordpress.com/)
13:26:11	111860/111860	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:11%20GMT	https://sezaiakman75.wordpress.com/resources/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/resources/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:13	13079/13079	---MCZ	200	added ('OK')	application/javascript	etag:W/%226683f552-3317%22	https://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202435b46853b388ab997de6bfa04c1e397b91783aa2d3e125eb7f62b2f41b95dd5e57	/home/igli/Desktop/winterschool/crawl_wp/0.gravatar.com/js/hovercards/hovercards.min76c4.js	(from https://sezaiakman75.wordpress.com/)
13:26:13	94905/94905	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:12%20GMT	https://sezaiakman75.wordpress.com/author/sezaiakman75/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/author/sezaiakman75/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:13	94776/94776	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:12%20GMT	https://sezaiakman75.wordpress.com/category/uncategorized/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/category/uncategorized/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:13	113423/113423	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2010:26:12%20GMT	https://sezaiakman75.wordpress.com/2024/08/21/hello-world/	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/2024/08/21/hello-world/index.html	(from https://sezaiakman75.wordpress.com/)
13:26:14	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/1125-1695422049049.3972	https://s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240i	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoe8bd.js	(from https://sezaiakman75.wordpress.com/)
13:26:14	8203/8203	---M--	200	added ('OK')	image/png	etag:%226466d62e-200b%22	https://s2.wp.com/i/logo/wpcom-gray-white.png	/home/igli/Desktop/winterschool/crawl_wp/s2.wp.com/i/logo/wpcom-gray-white.png	(from https://sezaiakman75.wordpress.com/)
13:26:15	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2027%20Aug%202024%2010:26:15%20GMT	https://sezaiakman75.wordpress.com/wp-admin/site-editor.php?postType=wp_template&postId=pub/twentytwentyfour//home	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/wp-admin/site-editor8002.php	(from https://sezaiakman75.wordpress.com/)
13:26:16	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2027%20Aug%202024%2010:26:16%20GMT	https://sezaiakman75.wordpress.com/wp-login.php?redirect_to=https%3A%2F%2Fsezaiakman75.wordpress.com%2Fwp-admin%2Fsite-editor.php%3FpostType%3Dwp_template%26postId%3Dpub%2Ftwentytwentyfour%2F%2Fhome&reauth=1	/home/igli/Desktop/winterschool/crawl_wp/sezaiakman75.wordpress.com/wp-login0e44.php	(from https://sezaiakman75.wordpress.com/)
13:26:18	15758/15758	---MCZ	200	added ('OK')	text/css	etag:W/18608-1724334956737.622	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20240822	/home/igli/Desktop/winterschool/crawl_wp/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar61e6.css	(from https://sezaiakman75.wordpress.com/)
13:26:19	8426/8426	---MCZ	200	added ('OK')	application/javascript	etag:W/15307-1700657606032.2393	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20231122	/home/igli/Desktop/winterschool/crawl_wp/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar4dc1.js	(from https://sezaiakman75.wordpress.com/)
